event_id,event_name,event_type,genre,subgenre,date_local,time_local,venue_name,venue_city,venue_state,venue_lat,venue_lon,url
Z7r9jZ1A7Q80e,Washington Nationals vs. Minnesota Twins,Sports,Baseball,MLB,2026-05-05,18:45:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q80e
Z7r9jZ1A7Q807,Washington Nationals vs. Minnesota Twins,Sports,Baseball,MLB,2026-05-06,18:45:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q807
17A8vxG6GRM5VnD,DC Power FC vs. Sporting Jacksonville,Sports,Soccer,Soccer,2026-05-06,19:00:00,Audi Field,Washington,DC,38.86799800,-77.01364200,https://www.ticketmaster.com/dc-power-fc-vs-sporting-jacksonville-washington-district-of-columbia-05-06-2026/event/150062CBF72F4ABB
Z7r9jZ1A7Q80A,Washington Nationals vs. Minnesota Twins,Sports,Baseball,MLB,2026-05-07,13:05:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q80A
1AvfZbyGkXLm4Wg,DC Defenders vs. Louisville Kings,Sports,Football,XFL,2026-05-09,13:30:00,Audi Field,Washington,DC,38.86799800,-77.01364200,https://www.ticketmaster.com/dc-defenders-vs-louisville-kings-washington-district-of-columbia-05-09-2026/event/1500639F9FB95F75
1A4Zk8VGkeNL6ln,Washington Mystics vs. New York Liberty,Sports,Basketball,WNBA,2026-05-10,15:00:00,CareFirst Arena,Washington,DC,38.84683200,-76.99112900,https://www.ticketmaster.com/washington-mystics-vs-new-york-liberty-washington-district-of-columbia-05-10-2026/event/15006434A37C7AEA
1A4ZkCKGkdaFBAm,D.C. United vs Chicago Fire FC,Sports,Soccer,MLS,2026-05-13,19:30:00,Audi Field,Washington,DC,38.86799800,-77.01364200,https://www.ticketmaster.com/dc-united-vs-chicago-fire-fc-washington-district-of-columbia-05-13-2026/event/15006393C923A16E
Z7r9jZ1A7Q806,Washington Nationals vs Baltimore Orioles: Hot Dog Hat,Sports,Baseball,MLB,2026-05-15,18:45:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q806
Z7r9jZ1A7Q80F,Washington Nationals vs Baltimore Orioles: DC Sports Legend Bobblehead,Sports,Baseball,MLB,2026-05-16,16:05:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q80F
1A4ZkCKGkda2QAX,D.C. United vs. St. Louis City SC,Sports,Soccer,MLS,2026-05-16,19:30:00,Audi Field,Washington,DC,38.86799800,-77.01364200,https://www.ticketmaster.com/dc-united-vs-st-louis-city-washington-district-of-columbia-05-16-2026/event/15006393C93DA17E
